trip_id,pred_eta_s,gt_eta_s,ae,ape
1#part0,2762.2530101609564,2734.3,27.953010160956183,0.010223095549484761
1#part1,2865.256105494718,2857.6,7.656105494718304,0.0026792082498314335
1#part10,116.11350212192045,93.4,22.713502121920442,0.2431852475580347
1#part11,3061.3457979531354,3133.2,71.85420204686443,0.022933168022106612
1#part2,770.4039449255318,742.4,28.00394492553187,0.03772083098805478
1#part3,1560.8457394634943,1543.3,17.54573946349433,0.011368975224191233
1#part4,1635.4904448890538,1665.3,29.80955511094612,0.017900411403918886
1#part5,4898.348463330169,5095.7,197.35153666983115,0.03872903363028262
1#part6,2240.6147071266223,2242.3,1.6852928733778754,0.0007515911668277551
1#part7,4631.861872328372,4703.4,71.53812767162799,0.015209875339462515
1#part8,134.93604670640963,154.0,19.063953293590373,0.1237919045038336
1#part9,3663.5686351237814,3690.6,27.031364876218504,0.007324382180734434
10#part0,365.4445549428454,320.4,45.04455494284542,0.14058849857317549
10#part1,513.7798093634842,466.8,46.97980936348421,0.10064226513171423
10#part10,718.145091930493,629.8,88.34509193049303,0.14027483634565424
10#part100,474.17200301105413,467.8,6.372003011054119,0.013621212080064383
10#part101,556.2528074376455,550.7,5.55280743764547,0.010083180384320808
10#part102,867.6364731800281,853.5,14.136473180028133,0.016562944557736537
10#part103,873.5665796231699,785.2,88.36657962316986,0.11254021857255457
10#part104,70.67246242224347,57.9,12.772462422243471,0.22059520591094078
10#part11,752.1788535912742,725.7,26.478853591274174,0.036487327533793815
10#part12,2194.087110288329,2213.0,18.91288971167114,0.008546267379878509
10#part13,1300.9327851561668,1270.4,30.53278515616671,0.024033993353405784
10#part14,795.927206270644,748.3,47.627206270644024,0.06364720870058002
10#part15,1052.0661826059888,958.4,93.66618260598887,0.09773182659222544
10#part16,567.7671299897199,447.6,120.16712998971991,0.26846990614325267
10#part17,334.279876473246,236.7,97.57987647324603,0.41225127365122954
10#part18,339.39235549941264,298.2,41.192355499412656,0.13813667169487812
10#part19,480.5393486487887,372.2,108.3393486487887,0.29107831447820715
10#part2,734.5751989494025,625.3,109.27519894940258,0.17475643523013368
10#part20,497.73248907703186,431.8,65.93248907703185,0.15269219332337158
10#part21,542.1774932012278,440.5,101.67749320122778,0.2308229130561357
10#part22,576.6829847352385,511.4,65.28298473523853,0.12765542576307887
10#part23,149.12189717621558,98.5,50.62189717621558,0.5139278901138638
10#part24,421.95299355257384,372.8,49.15299355257383,0.13184815867106714
10#part25,435.01447035909473,417.3,17.71447035909472,0.04245020455090994
10#part26,681.9030062857508,619.9,62.00300628575087,0.10002098126431823
10#part27,471.0236964863988,349.9,121.12369648639884,0.34616660899228024
10#part28,520.6977349917147,448.5,72.1977349917147,0.16097599775187224
10#part29,575.8264063831926,486.8,89.02640638319264,0.18288086767295117
10#part3,928.0848048004993,842.1,85.98480480049932,0.10210759387305464
10#part30,467.94290300291345,421.3,46.64290300291344,0.11071185141921064
10#part31,610.9648877678338,602.4,8.564887767833852,0.014217941181663103
10#part32,482.8551140324006,450.1,32.75511403240057,0.07277297052299615
10#part33,580.2426238299124,536.8,43.44262382991246,0.08092888194842114
10#part34,324.1848631013765,219.2,104.9848631013765,0.4789455433456958
10#part35,491.12694470286357,446.4,44.72694470286359,0.10019476859960483
10#part36,976.8382840963944,917.1,59.73828409639441,0.06513824457136017
10#part37,251.5234408590957,239.8,11.723440859095689,0.048888410588389025
10#part38,623.7961456351151,567.7,56.09614563511502,0.09881300975007049
10#part39,339.8005727797405,254.4,85.40057277974049,0.33569407539206164
10#part4,736.5637146687602,683.2,53.36371466876017,0.07810848165802131
10#part40,349.45218246259134,322.6,26.852182462591315,0.08323677142774741
10#part41,497.33441178740367,448.4,48.93441178740369,0.10913115920473615
10#part42,427.60447386129215,373.4,54.20447386129217,0.14516463272975944
10#part43,364.2131900649995,327.2,37.01319006499949,0.11312099653117204
10#part44,1143.8732572141166,1114.0,29.87325721411662,0.02681620934839912
10#part45,315.9299474400084,259.2,56.7299474400084,0.21886553796299538
10#part46,471.97742014446413,378.0,93.97742014446413,0.24861751360969347
10#part47,513.7823992723964,489.6,24.182399272396424,0.04939215537662668
10#part48,398.7285087526587,349.7,49.028508752658695,0.14020162640165484
10#part49,373.324538586802,263.5,109.82453858680202,0.41679141778672496
10#part5,529.2636045323383,483.5,45.76360453233826,0.09465068155602537
10#part50,542.6398189047297,457.9,84.73981890472976,0.18506184517302854
10#part51,351.5597540763573,274.6,76.95975407635729,0.2802613039925611
10#part52,382.9859520113779,342.9,40.08595201137791,0.11690274718978687
10#part53,622.8403031981943,608.7,14.14030319819426,0.023230332180374996
10#part54,580.6601929302625,504.8,75.86019293026249,0.15027771975091617
10#part55,429.35222208182967,354.0,75.35222208182967,0.2128593844119482
10#part56,503.77596660999495,481.7,22.075966609994964,0.04582928505292706
10#part57,469.64690271983767,432.8,36.84690271983766,0.08513609685729588
10#part58,741.8408257830846,689.7,52.14082578308455,0.07559928343204951
10#part59,754.5552919210195,617.4,137.1552919210195,0.222149808748007
10#part6,806.7130815491009,707.1,99.61308154910091,0.1408755219192489
10#part60,507.20894852973265,423.2,84.00894852973266,0.19850885758443446
10#part61,606.5707531783618,593.6,12.970753178361747,0.02185099928969297
10#part62,575.3496383774623,494.4,80.94963837746229,0.1637330873330548
10#part63,810.6406200306967,733.4,77.24062003069673,0.10531854381060367
10#part64,598.2199988493585,565.4,32.81999884935851,0.05804739803565354
10#part65,369.472056627105,346.8,22.672056627105007,0.06537501910929933
10#part66,945.7722819156617,907.7,38.07228191566162,0.04194368394366158
